method,threads,mean_ms,p95_ms,speedup_mean,speedup_p95
Serial,1,213.787,219.054,1,1
OMP,0,210.939,220.309,1.0135,0.994301
Thread,1,154.212,160.798,1.38631,1.36229
Thread,2,77.4855,79.7323,2.75905,2.74736
Thread,4,44.1375,46.405,4.84365,4.72047
Thread,8,29.0605,35.0342,7.35661,6.25256
Thread,12,30.9672,34.0135,6.90366,6.44019
Thread,16,32.2396,38.8741,6.63118,5.63495
Thread,20,35.1371,52.7476,6.08436,4.15286
Thread,24,36.2374,42.9406,5.89961,5.10131
Thread,27,40.4183,47.828,5.28935,4.58003
